Input,Output
"Applicant earns $34488 annually, has a credit score of 715, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $59088 annually, has a credit score of 677, no outstanding loan, 6 missed payments in the last year, employment status: Unemployed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $125907 annually, has a credit score of 509, outstanding loans totaling $63664, 9 missed payments in the last year, employment status: Unemployed, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $125066 annually, has a credit score of 570, no outstanding loan, 6 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $82196 annually, has a credit score of 505, outstanding loans totaling $58304, 8 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $145715 annually, has a credit score of 709, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $118044 annually, has a credit score of 809, outstanding loans totaling $33989, 10 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $51665 annually, has a credit score of 839, outstanding loans totaling $40240, 5 missed payments in the last year, employment status: Employed, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $110557 annually, has a credit score of 774, outstanding loans totaling $9735, 2 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $58858 annually, has a credit score of 798, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $132226 annually, has a credit score of 583, outstanding loans totaling $33659, 6 missed payments in the last year, employment status: Unemployed, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $111810 annually, has a credit score of 786, outstanding loans totaling $23943, 10 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $96126 annually, has a credit score of 638, outstanding loans totaling $68569, 7 missed payments in the last year, employment status: Unemployed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $32084 annually, has a credit score of 801, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $37836 annually, has a credit score of 616, outstanding loans totaling $5805, 1 missed payments in the last year, employment status: Self-employed, Owns home, and 5 recent credit inquiries.",Rejected
"Applicant earns $89348 annually, has a credit score of 612, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $74511 annually, has a credit score of 591, outstanding loans totaling $25377, 9 missed payments in the last year, employment status: Employed, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $69985 annually, has a credit score of 652, outstanding loans totaling $52254, 6 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $123328 annually, has a credit score of 641, outstanding loans totaling $54878, 7 missed payments in the last year, employment status: Unemployed, Living with roommates, and 3 recent credit inquiries.",Rejected
